ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,ALTITUD,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI
9,Ciudad de MÃ©xico,0,Total de la entidad Ciudad de MÃ©xico,0,Total de la Entidad,,,,9209944,4805017,4404927,267151,131720,135431,8933167,4668454,4264713,8720414,4563147,4157267,7915499,4167530,3747969,7547545,3985698,3561847,7166737,3798760,3367977,324942,160337,164605,692726,340587,352139,838416,412683,425733,367954,181832,186122,380808,186938,193870,984186,487898,496288,2508606,1491619,853207,638412,91.67,1652773,6525440,1022105,5099957,2316485,2783472,2798579,1843317,955262,4985469,2502789,6689012,3881545,1128554,12484,104474,1203824,21158,444160,93084
9,Ciudad de MÃ©xico,0,Total de la entidad Ciudad de MÃ©xico,9998,Localidades de una vivienda,,,,320,128,192,16,8,8,304,120,184,291,114,177,265,103,162,248,96,152,227,89,138,18,9,9,21,8,13,33,12,21,17,7,10,21,7,14,33,15,18,69,37,11,26,150,72,223,25,190,52,138,74,51,23,186,139,181,65,20,0,0,88,5,5,0
9,Ciudad de MÃ©xico,0,Total de la entidad Ciudad de MÃ©xico,9999,Localidades de dos viviendas,,,,364,178,186,9,4,5,355,174,181,346,168,178,288,142,146,268,131,137,255,124,131,16,8,8,51,24,27,60,29,31,20,11,9,13,7,6,37,19,18,95,48,20,28,104.49,96,240,28,207,83,124,79,59,20,206,135,229,55,30,1,2,122,0,18,3
9,Ciudad de MÃ©xico,2,Azcapotzalco,0,Total del Municipio,,,,432205,227255,204950,11784,5702,6082,420056,221370,198686,410780,216806,193974,377144,200360,176784,361474,192669,168805,345123,184700,160423,14191,6954,7237,28721,14056,14665,35256,17270,17986,15670,7691,7979,16351,7969,8382,43088,21303,21785,115600,78650,45565,33085,90.19,70366,306611,54863,239069,110331,128738,137554,89796,47758,232719,90370,341302,238847,48827,902,11600,34369,876,10983,2854
9,Ciudad de MÃ©xico,2,Azcapotzalco,1,Azcapotzalco,"99Â°11'03.698"" W","19Â°29'02.770"" N",2244.0,432205,227255,204950,11784,5702,6082,420056,221370,198686,410780,216806,193974,377144,200360,176784,361474,192669,168805,345123,184700,160423,14191,6954,7237,28721,14056,14665,35256,17270,17986,15670,7691,7979,16351,7969,8382,43088,21303,21785,115600,78650,45565,33085,90.19,70366,306611,54863,239069,110331,128738,137554,89796,47758,232719,90370,341302,238847,48827,902,11600,34369,876,10983,2854
9,Ciudad de MÃ©xico,3,CoyoacÃ¡n,0,Total del Municipio,,,,614447,325337,289110,14791,7252,7539,599528,318019,281509,587692,312162,275530,543990,290668,253322,522992,280428,242564,500374,269320,231054,18061,8857,9204,37477,18494,18983,46646,22916,23730,20998,10240,10758,22618,11108,11510,63817,31569,32248,162387,126592,73584,53008,88.86,91327,432544,90448,340527,160166,180361,202374,130022,72352,331549,160961,452819,273066,96651,530,6624,50485,1386,36751,5054
9,Ciudad de MÃ©xico,3,CoyoacÃ¡n,1,CoyoacÃ¡n,"99Â°09'43.724"" W","19Â°21'00.770"" N",2247.0,614447,325337,289110,14791,7252,7539,599528,318019,281509,587692,312162,275530,543990,290668,253322,522992,280428,242564,500374,269320,231054,18061,8857,9204,37477,18494,18983,46646,22916,23730,20998,10240,10758,22618,11108,11510,63817,31569,32248,162387,126592,73584,53008,88.86,91327,432544,90448,340527,160166,180361,202374,130022,72352,331549,160961,452819,273066,96651,530,6624,50485,1386,36751,5054
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,0,Total del Municipio,,,,217686,113537,104149,8030,3935,4095,209540,109545,99995,203315,106464,96851,181693,95927,85766,172263,91212,81051,162395,86322,76073,9524,4673,4851,18323,8945,9378,21875,10800,11075,9430,4715,4715,9868,4890,4978,25202,12908,12294,62894,25803,14266,11537,91.73,45307,155503,16760,119508,54447,65061,61443,41066,20377,117358,52803,164222,88466,15952,340,1534,27886,1065,34990,1958
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,1,Cuajimalpa de Morelos,"99Â°17'59.252"" W","19Â°21'26.461"" N",2780.0,186693,97615,89078,6715,3260,3455,179869,94300,85569,174654,91709,82945,156708,83039,73669,148763,79085,69678,140419,74957,65462,7948,3883,4065,15213,7378,7835,18280,8978,9302,7945,3954,3991,8344,4128,4216,21403,11039,10364,54258,22800,12635,10165,91.25,37821,133841,14922,103429,47661,55768,52631,35010,17621,101629,43787,142320,75838,13375,255,1364,22087,722,34528,1699
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,10,Cruz Blanca,"99Â°19'26.437"" W","19Â°19'04.026"" N",2982.0,728,362,366,47,29,18,681,333,348,657,323,334,565,284,281,529,263,266,497,247,250,41,20,21,75,29,46,86,41,45,36,21,15,32,16,16,95,43,52,196,54,28,26,101.10,199,498,31,353,139,214,212,145,67,333,175,553,243,37,0,2,277,1,7,3
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,20,San Lorenzo Acopilco,"99Â°19'32.454"" W","19Â°19'51.617"" N",2936.0,26042,13416,12626,1069,537,532,24969,12878,12091,24125,12473,11652,21077,10935,10142,19843,10308,9535,18586,9684,8902,1306,640,666,2586,1303,1283,2980,1515,1465,1234,627,607,1257,624,633,3137,1557,1580,7238,2658,1457,1201,94.11,6195,18194,1649,13456,5726,7730,7555,5179,2376,13146,7236,18755,11020,2286,80,164,4927,40,397,227
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,50,La Venta,"99Â°18'36.766"" W","19Â°20'03.752"" N",2862.0,486,270,216,15,5,10,471,265,206,455,255,200,401,227,174,377,212,165,354,199,155,25,15,10,45,23,22,54,30,24,24,15,9,23,13,10,58,31,27,142,63,35,28,80,109,341,36,279,144,135,119,80,39,277,152,331,146,72,1,2,92,1,3,16
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,54,Puerto las Cruces (Monte las Cruces),"99Â°20'51.436"" W","19Â°17'41.500"" N",3200.0,1233,648,585,65,35,30,1165,612,553,1128,594,534,973,505,468,914,475,439,857,447,410,61,33,28,131,74,57,146,78,68,59,30,29,57,28,29,150,83,67,368,94,48,46,90.28,316,868,46,697,313,384,257,183,74,685,397,815,474,90,3,0,228,20,8,4
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,55,Teopazulco,"99Â°19'23.215"" W","19Â°20'45.333"" N",2940.0,80,40,40,1,0,1,79,40,39,77,39,38,65,32,33,60,28,32,59,27,32,5,3,2,9,5,4,10,7,3,5,4,1,1,1,0,9,2,7,19,9,4,5,100,20,53,7,40,14,26,25,18,7,40,21,59,30,1,0,0,27,1,0,0
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,56,Valle de las Monjas,"99Â°17'35.672"" W","19Â°20'18.829"" N",2663.0,108,47,61,4,2,2,104,45,59,99,43,56,84,38,46,80,36,44,76,36,40,6,2,4,14,5,9,15,5,10,4,2,2,4,0,4,16,8,8,27,5,3,2,129.79,28,77,3,57,20,37,27,18,9,57,22,86,45,0,0,0,11,25,5,0
