Clave entidad,Entidad,Clave municipio,Municipio,Clave localidad,Localidad,Longitud,Latitud,Altitud,Población total,Población femenina,Población masculina,Pob. 3 años y más,Pob. 3 años y más (F),Pob. 3 años y más (M),Pob. 18 años y más,Pob. 18 años y más (F),Pob. 18 años y más (M),Relación hombres-mujeres,Pob. económicamente activa,Pob. económicamente activa (F),Pob. económicamente activa (M),Pob. económicamente inactiva,Pob. económicamente inactiva (F),Pob. económicamente inactiva (M),Pob. ocupada,Sin derechohabiencia,Con derechohabiencia,Derechohabiente IMSS,Derechohabiente ISSSTE federal,Derechohabiente ISSSTE estatal,Afiliado Seguro Popular/Bienestar,Seguro Popular o Médico Siglo XXI,Derechohabiente IMSS-Bienestar,Afiliado institución privada,Afiliado otra institución,Niños,Niños (F),Niños (M),Jóvenes,Jóvenes (F),Jóvenes (M),Adultos,Adultos (F),Adultos (M),Tercera edad,Tercera edad (F),Tercera edad (M)
9,Ciudad de MÃ©xico,2,Azcapotzalco,1,Azcapotzalco,"99Â°11'03.698"" W","19Â°29'02.770"" N",2244.0,432205,227255.0,204950.0,420056.0,221370.0,198686.0,345123.0,184700.0,160423.0,90.19,239069.0,110331.0,128738.0,137554.0,89796.0,47758.0,232719.0,90370.0,341302.0,238847.0,48827.0,902.0,11600.0,34369.0,876.0,10983.0,2854.0,54696.0,26712.0,27984.0,32021.0,15660.0,16361.0,266473.0,139135.0,127338.0,78650.0,45565.0,33085.0
9,Ciudad de MÃ©xico,3,CoyoacÃ¡n,1,CoyoacÃ¡n,"99Â°09'43.724"" W","19Â°21'00.770"" N",2247.0,614447,325337.0,289110.0,599528.0,318019.0,281509.0,500374.0,269320.0,231054.0,88.86,340527.0,160166.0,180361.0,202374.0,130022.0,72352.0,331549.0,160961.0,452819.0,273066.0,96651.0,530.0,6624.0,50485.0,1386.0,36751.0,5054.0,70329.0,34603.0,35726.0,43616.0,21348.0,22268.0,373782.0,195736.0,178046.0,126592.0,73584.0,53008.0
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,1,Cuajimalpa de Morelos,"99Â°17'59.252"" W","19Â°21'26.461"" N",2780.0,186693,97615.0,89078.0,179869.0,94300.0,85569.0,140419.0,74957.0,65462.0,91.25,103429.0,47661.0,55768.0,52631.0,35010.0,17621.0,101629.0,43787.0,142320.0,75838.0,13375.0,255.0,1364.0,22087.0,722.0,34528.0,1699.0,29876.0,14521.0,15355.0,16289.0,8082.0,8207.0,117619.0,62322.0,55297.0,22800.0,12635.0,10165.0
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,10,Cruz Blanca,"99Â°19'26.437"" W","19Â°19'04.026"" N",2982.0,728,362.0,366.0,681.0,333.0,348.0,497.0,247.0,250.0,101.1,353.0,139.0,214.0,212.0,145.0,67.0,333.0,175.0,553.0,243.0,37.0,0.0,2.0,277.0,1.0,7.0,3.0,163.0,78.0,85.0,68.0,37.0,31.0,443.0,219.0,224.0,54.0,28.0,26.0
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,20,San Lorenzo Acopilco,"99Â°19'32.454"" W","19Â°19'51.617"" N",2936.0,26042,13416.0,12626.0,24969.0,12878.0,12091.0,18586.0,9684.0,8902.0,94.11,13456.0,5726.0,7730.0,7555.0,5179.0,2376.0,13146.0,7236.0,18755.0,11020.0,2286.0,80.0,164.0,4927.0,40.0,397.0,227.0,4961.0,2480.0,2481.0,2491.0,1251.0,1240.0,15928.0,8227.0,7701.0,2658.0,1457.0,1201.0
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,50,La Venta,"99Â°18'36.766"" W","19Â°20'03.752"" N",2862.0,486,270.0,216.0,471.0,265.0,206.0,354.0,199.0,155.0,80.0,279.0,144.0,135.0,119.0,80.0,39.0,277.0,152.0,331.0,146.0,72.0,1.0,2.0,92.0,1.0,3.0,16.0,85.0,43.0,42.0,47.0,28.0,19.0,291.0,164.0,127.0,63.0,35.0,28.0
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,54,Puerto las Cruces (Monte las Cruces),"99Â°20'51.436"" W","19Â°17'41.500"" N",3200.0,1233,648.0,585.0,1165.0,612.0,553.0,857.0,447.0,410.0,90.28,697.0,313.0,384.0,257.0,183.0,74.0,685.0,397.0,815.0,474.0,90.0,3.0,0.0,228.0,20.0,8.0,4.0,257.0,142.0,115.0,116.0,58.0,58.0,763.0,399.0,364.0,94.0,48.0,46.0
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,55,Teopazulco,"99Â°19'23.215"" W","19Â°20'45.333"" N",2940.0,80,40.0,40.0,79.0,40.0,39.0,59.0,27.0,32.0,100.0,40.0,14.0,26.0,25.0,18.0,7.0,40.0,21.0,59.0,30.0,1.0,0.0,0.0,27.0,1.0,0.0,0.0,15.0,8.0,7.0,6.0,5.0,1.0,50.0,23.0,27.0,9.0,4.0,5.0
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,56,Valle de las Monjas,"99Â°17'35.672"" W","19Â°20'18.829"" N",2663.0,108,47.0,61.0,104.0,45.0,59.0,76.0,36.0,40.0,129.79,57.0,20.0,37.0,27.0,18.0,9.0,57.0,22.0,86.0,45.0,0.0,0.0,0.0,11.0,25.0,5.0,0.0,24.0,9.0,15.0,8.0,2.0,6.0,71.0,33.0,38.0,5.0,3.0,2.0
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,57,ProlongaciÃ³n ConstituciÃ³n,"99Â°19'36.019"" W","19Â°21'09.542"" N",2715.0,131,65.0,66.0,123.0,62.0,61.0,95.0,47.0,48.0,101.54,70.0,27.0,43.0,37.0,28.0,9.0,70.0,49.0,82.0,66.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,24.0,10.0,14.0,12.0,8.0,4.0,90.0,43.0,47.0,5.0,4.0,1.0
