cvegeo,ids,ids_norm,bajo_desarrollo_norm,grado_ids,grado_ids_num,grado_ids_norm,poblacion_ids,pob_nbi,prop_nbi,prop_nbi_norm
0900200010010,0.8725,0.8427068450448111,0.15729315495518892,Alto,4.0,0.75,3175.0,1982.0,0.624251968503937,0.5980503816333304
0900200010025,0.8392,0.7994544746070917,0.20054552539290826,Medio,3.0,0.5,5553.0,4061.0,0.7313164055465514,0.7125806146689546
090020001003A,0.8981,0.8759579166125471,0.12404208338745293,Alto,4.0,0.75,4201.0,2222.0,0.5289216853130208,0.49607254612795176
0900200010044,0.8821,0.855175996882712,0.14482400311728805,Alto,4.0,0.75,4741.0,2817.0,0.5941784433663784,0.5658797754325396
0900200010097,0.9243,0.9099883101701519,0.09001168982984808,Alto,4.0,0.75,2146.0,943.0,0.43942218080149115,0.40033207999914305
090020001010A,0.9115,0.8933627743862839,0.10663722561371614,Alto,4.0,0.75,3314.0,1603.0,0.4837054918527459,0.4477033460738953
0900200010114,0.8208,0.7755552669177814,0.22444473308221857,Medio,3.0,0.5,9624.0,6934.0,0.7204904405652536,0.7009997356544782
0900200010129,0.9042,0.8838810235095467,0.11611897649045333,Alto,4.0,0.75,5579.0,2588.0,0.4638824162036207,0.4264979716630303
0900200010133,0.8086,0.7597090531237822,0.24029094687621777,Medio,3.0,0.5,7166.0,5132.0,0.7161596427574658,0.6963669435167986
0900200010148,0.9302,0.9176516430705286,0.0823483569294714,Alto,4.0,0.75,2468.0,896.0,0.36304700162074555,0.3186311220402765
0900200010167,0.7954,0.7425639693466684,0.25743603065333165,Medio,3.0,0.5,3027.0,2305.0,0.7614800132144037,0.7448475850170939
0900200010171,0.9205,0.9050526042343161,0.0949473957656839,Alto,4.0,0.75,2284.0,923.0,0.4041155866900175,0.3625634935013521
0900200010186,0.8703,0.8398493310819586,0.16015066891804142,Alto,4.0,0.75,10985.0,6036.0,0.5494765589440146,0.5180607481117582
0900200010190,0.8274,0.7841278088063385,0.21587219119366152,Medio,3.0,0.5,8807.0,5925.0,0.6727603043033951,0.6499412910402601
0900200010203,0.7962,0.7436030653331601,0.2563969346668399,Medio,3.0,0.5,5460.0,4107.0,0.7521978021978022,0.7349181087112121
0900200010218,0.8417,0.8027016495648785,0.19729835043512145,Medio,3.0,0.5,4121.0,2613.0,0.6340694006309149,0.6085524009814232
0900200010222,0.8199,0.7743862839329783,0.22561371606702174,Medio,3.0,0.5,6867.0,4497.0,0.654871122761031,0.6308046646547121
0900200010237,0.801,0.7498376412521107,0.2501623587478893,Medio,3.0,0.5,7062.0,5202.0,0.7366185216652507,0.7182524568924827
0900200010256,0.8385,0.7985452656189115,0.20145473438108852,Medio,3.0,0.5,4850.0,3135.0,0.6463917525773196,0.6217340127187265
0900200010260,0.8641,0.8317963371866476,0.16820366281335242,Alto,4.0,0.75,4943.0,2910.0,0.5887113089217074,0.5600314078580104
0900200010275,0.8098,0.7612676971035198,0.23873230289648018,Medio,3.0,0.5,6985.0,5028.0,0.7198282032927702,0.70029131938445
090020001028A,0.9086,0.8895960514352512,0.11040394856474878,Alto,4.0,0.75,3088.0,1388.0,0.4494818652849741,0.4110932443967999
0900200010294,0.8769,0.8484218729705156,0.15157812702948437,Alto,4.0,0.75,5987.0,3373.0,0.5633873392350092,0.5329415521625079
0900200010307,0.8288,0.785946226782699,0.214053773217301,Medio,3.0,0.5,5603.0,3875.0,0.6915937890415849,0.6700880685839482
0900200010311,0.8466,0.8090661124821406,0.19093388751785945,Medio,3.0,0.5,3721.0,2353.0,0.6323568933082505,0.6067204774393239
0900200010326,0.8926,0.8688141317054162,0.13118586829458379,Alto,4.0,0.75,8263.0,4217.0,0.5103473314776715,0.4762029691515935
0900200010330,0.8063,0.7567216521626186,0.24327834783738145,Medio,3.0,0.5,2219.0,1647.0,0.7422262280306444,0.7242511987209039
0900200010345,0.8182,0.7721782049616833,0.22782179503831668,Medio,3.0,0.5,3945.0,2652.0,0.6722433460076046,0.6493882843115831
090020001035A,0.8514,0.815300688401091,0.18469931159890896,Medio,3.0,0.5,6164.0,3678.0,0.5966904607397794,0.5685669603009441
0900200010364,0.8217,0.7767242499025847,0.2232757500974153,Medio,3.0,0.5,3377.0,2370.0,0.7018063369854901,0.681012755886394
0900200010379,0.8381,0.7980257176256655,0.20197428237433446,Medio,3.0,0.5,4390.0,2862.0,0.6519362186788155,0.6276651044257673
