cvegeo,ids,area_km2,densidad_pob,ids_norm,bajo_desarrollo_norm,grado_ids,grado_ids_num,grado_ids_norm,poblacion_ids,pob_nbi,prop_nbi,prop_nbi_norm
9.002E+11,0.8725,0.1633878,5.340055974,0.842706845,0.157293155,Alto,4,0.75,3175,1982,0.624251969,0.598050382
9.002E+11,0.8392,0.190892241,4.396197529,0.799454475,0.200545525,Medio,3,0.5,5553,4061,0.731316406,0.712580615
090020001003A,0.8981,0.185391736,4.844336741,0.875957917,0.124042083,Alto,4,0.75,4201,2222,0.528921685,0.496072546
9.002E+11,0.8821,0.213884411,4.124190229,0.855175997,0.144824003,Alto,4,0.75,4741,2817,0.594178443,0.565879775
9.002E+11,0.9243,0.171326634,5.394958024,0.90998831,0.09001169,Alto,4,0.75,2146,943,0.439422181,0.40033208
090020001010A,0.9115,0.134991586,6.75227271,0.893362774,0.106637226,Alto,4,0.75,3314,1603,0.483705492,0.447703346
9.002E+11,0.8208,0.677047076,1.212323381,0.775555267,0.224444733,Medio,3,0.5,9624,6934,0.720490441,0.700999736
9.002E+11,0.9042,0.747273268,1.209999125,0.883881024,0.116118976,Alto,4,0.75,5579,2588,0.463882416,0.426497972
9.002E+11,0.8086,0.304283135,2.65739342,0.759709053,0.240290947,Medio,3,0.5,7166,5132,0.716159643,0.696366944
9.002E+11,0.9302,0.565906219,1.64373525,0.917651643,0.082348357,Alto,4,0.75,2468,896,0.363047002,0.318631122
9.002E+11,0.7954,0.172690436,4.605929652,0.742563969,0.257436031,Medio,3,0.5,3027,2305,0.761480013,0.744847585
9.002E+11,0.9205,0.112794625,8.160849879,0.905052604,0.094947396,Alto,4,0.75,2284,923,0.404115587,0.362563494
9.002E+11,0.8703,0.449370818,1.936707869,0.839849331,0.160150669,Alto,4,0.75,10985,6036,0.549476559,0.518060748
9.002E+11,0.8274,0.441619437,1.87355884,0.784127809,0.215872191,Medio,3,0.5,8807,5925,0.672760304,0.649941291
9.002E+11,0.7962,0.224112485,3.552680258,0.743603065,0.256396935,Medio,3,0.5,5460,4107,0.752197802,0.734918109
9.002E+11,0.8417,0.168067793,5.008098145,0.80270165,0.19729835,Medio,3,0.5,4121,2613,0.634069401,0.608552401
9.002E+11,0.8199,0.317381429,2.583326954,0.774386284,0.225613716,Medio,3,0.5,6867,4497,0.654871123,0.630804665
9.002E+11,0.801,0.560018919,1.43030882,0.749837641,0.250162359,Medio,3,0.5,7062,5202,0.736618522,0.718252457
9.002E+11,0.8385,0.263780287,3.178781894,0.798545266,0.201454734,Medio,3,0.5,4850,3135,0.646391753,0.621734013
9.002E+11,0.8641,0.177068247,4.880039266,0.831796337,0.168203663,Alto,4,0.75,4943,2910,0.588711309,0.560031408
9.002E+11,0.8098,0.267891679,3.02286358,0.761267697,0.238732303,Medio,3,0.5,6985,5028,0.719828203,0.700291319
090020001028A,0.9086,0.267495148,3.396697127,0.889596051,0.110403949,Alto,4,0.75,3088,1388,0.449481865,0.411093244
9.002E+11,0.8769,0.273119578,3.210681583,0.848421873,0.151578127,Alto,4,0.75,5987,3373,0.563387339,0.532941552
9.002E+11,0.8288,0.218921297,3.785835411,0.785946227,0.214053773,Medio,3,0.5,5603,3875,0.691593789,0.670088069
9.002E+11,0.8466,0.347228614,2.438163115,0.809066112,0.190933888,Medio,3,0.5,3721,2353,0.632356893,0.606720477
9.002E+11,0.8926,0.234581685,3.805071149,0.868814132,0.131185868,Alto,4,0.75,8263,4217,0.510347331,0.476202969
9.002E+11,0.8063,0.392638791,2.053541368,0.756721652,0.243278348,Medio,3,0.5,2219,1647,0.742226228,0.724251199
9.002E+11,0.8182,0.337873211,2.421618442,0.772178205,0.227821795,Medio,3,0.5,3945,2652,0.672243346,0.649388284
090020001035A,0.8514,1.37526328,0.61908146,0.815300688,0.184699312,Medio,3,0.5,6164,3678,0.596690461,0.56856696
9.002E+11,0.8217,0.149513025,5.495842235,0.77672425,0.22327575,Medio,3,0.5,3377,2370,0.701806337,0.681012756
9.002E+11,0.8381,0.226758582,3.696001241,0.798025718,0.201974282,Medio,3,0.5,4390,2862,0.651936219,0.627665104
