folio_ageb,entidad,alcaldia,localidad,pob,pob_nbi,ids_ccevj,ids_csj,ids_caej,ids_ctelj,ids_cbdj,ids_rei,ids_cassi,ids_casi,idsm,e_idsm
0000000000000,00,000,0000,694,611,,,,,,,,,,
0900200010010,09,002,0001,3175,1982,0.7425,1.0000,1.0000,0.9274,0.9344,0.9465,0.7030,0.7293,0.8725,Alto
0900200010025,09,002,0001,5553,4061,0.6914,0.9964,1.0000,0.8731,0.8829,0.9120,0.7288,0.7536,0.8392,Medio
090020001003A,09,002,0001,4201,2222,0.8879,0.9946,1.0000,0.9042,0.8912,0.9229,0.6998,0.7263,0.8981,Alto
0900200010044,09,002,0001,4741,2817,0.8062,0.9980,1.0000,0.9221,0.9207,0.9263,0.6988,0.7465,0.8821,Alto
0900200010097,09,002,0001,2146,943,0.9090,0.9983,1.0000,0.9526,0.9367,0.9493,0.7018,0.7312,0.9243,Alto
090020001010A,09,002,0001,3314,1603,0.8586,0.9984,1.0000,0.9466,0.9397,0.9524,0.6919,0.7358,0.9115,Alto
0900200010114,09,002,0001,9624,6934,0.6805,0.9555,1.0000,0.8915,0.8752,0.9192,0.6402,0.7134,0.8208,Medio
0900200010129,09,002,0001,5579,2588,0.8527,0.9673,1.0000,0.9298,0.9257,0.9434,0.7123,0.7725,0.9042,Alto
0900200010133,09,002,0001,7166,5132,0.6569,0.8887,1.0000,0.8988,0.8890,0.9126,0.6384,0.7327,0.8086,Medio
0900200010148,09,002,0001,2468,896,0.8903,0.9602,1.0000,0.9493,0.9611,0.9601,0.6981,0.7689,0.9302,Alto
0900200010167,09,002,0001,3027,2305,0.6271,0.8834,1.0000,0.8889,0.8828,0.9116,0.6019,0.6858,0.7954,Medio
0900200010171,09,002,0001,2284,923,0.9067,0.9952,1.0000,0.9262,0.9210,0.9404,0.7207,0.7627,0.9205,Alto
0900200010186,09,002,0001,10985,6036,0.7540,0.9343,1.0000,0.9246,0.9228,0.9465,0.7164,0.7673,0.8703,Alto
0900200010190,09,002,0001,8807,5925,0.6911,0.8886,0.9995,0.8918,0.8840,0.9207,0.6683,0.7246,0.8274,Medio
0900200010203,09,002,0001,5460,4107,0.6370,0.8867,0.9993,0.8803,0.8774,0.9136,0.6190,0.6851,0.7962,Medio
0900200010218,09,002,0001,4121,2613,0.7308,0.9517,1.0000,0.9202,0.9025,0.9350,0.6290,0.6925,0.8417,Medio
0900200010222,09,002,0001,6867,4497,0.6970,0.9134,0.9999,0.9021,0.8876,0.9224,0.6352,0.6940,0.8199,Medio
0900200010237,09,002,0001,7062,5202,0.6539,0.8212,0.9997,0.8910,0.8913,0.9187,0.6205,0.6834,0.8010,Medio
0900200010256,09,002,0001,4850,3135,0.7250,0.9518,1.0000,0.9107,0.9209,0.9289,0.6179,0.6872,0.8385,Medio
0900200010260,09,002,0001,4943,2910,0.7863,0.9769,0.9998,0.9074,0.9051,0.9198,0.6737,0.7287,0.8641,Alto
0900200010275,09,002,0001,6985,5028,0.6706,0.9410,0.9994,0.9052,0.9042,0.9013,0.6302,0.6956,0.8098,Medio
